respondent_id,xyz_vaccine,seasonal_vaccine
26707.0,0.025,0.159
26708.0,0.0,0.035
26709.0,0.842,0.644
26710.0,0.313,0.903
26711.0,0.732,0.351
26712.0,0.878,0.88
26713.0,0.334,0.491
26714.0,0.02,0.213
26715.0,0.001,0.179
26716.0,0.17,0.842
26717.0,0.006,0.417
26718.0,0.073,0.371
26719.0,0.269,0.727
26720.0,0.018,0.084
26721.0,0.294,0.338
26722.0,0.001,0.12
26723.0,0.837,0.73
26726.0,0.216,0.534
26727.0,0.034,0.302
26728.0,0.017,0.114
26729.0,0.0,0.586
26730.0,0.0,0.162
26731.0,0.994,0.914
26732.0,0.954,0.35
26733.0,0.03,0.121
26734.0,0.001,0.185
26736.0,0.005,0.205
26737.0,0.003,0.108
26738.0,0.29,0.885
26739.0,0.061,0.479
26740.0,0.001,0.6
26741.0,0.086,0.61
26742.0,0.183,0.94
26743.0,0.024,0.412
26744.0,0.021,0.038
26745.0,0.068,0.506
26747.0,0.758,0.701
26748.0,0.0,0.039
26749.0,0.829,0.644
26750.0,0.024,0.258
26751.0,0.0,0.442
26752.0,0.0,0.095
26753.0,0.646,0.446
26754.0,0.977,0.792
26755.0,0.001,0.417
26756.0,0.078,0.719
26757.0,0.018,0.891
26758.0,0.998,0.967
26759.0,0.998,0.929
26761.0,0.029,0.12
26762.0,0.992,0.692
26763.0,0.013,0.222
26764.0,0.021,0.062
26765.0,0.349,0.494
26766.0,0.004,0.288
26767.0,0.015,0.378
26768.0,0.015,0.372
26769.0,0.0,0.356
26770.0,0.089,0.645
26771.0,0.439,0.894
26772.0,0.075,0.26
26773.0,0.165,0.512
26774.0,0.832,0.91
26775.0,0.0,0.687
26777.0,0.024,0.5
26778.0,0.066,0.31
26779.0,0.12,0.485
26780.0,0.169,0.88
26781.0,0.001,0.281
26782.0,0.012,0.444
26783.0,0.004,0.105
26786.0,0.993,0.763
26787.0,0.091,0.924
26788.0,0.0,0.135
26789.0,0.214,0.366
26790.0,0.144,0.174
26791.0,0.067,0.819
26792.0,0.004,0.265
26793.0,0.008,0.151
26794.0,0.002,0.213
26795.0,0.183,0.827
26796.0,0.924,0.154
26797.0,0.005,0.148
26798.0,0.004,0.071
26800.0,0.04,0.399
26802.0,0.002,0.139
26804.0,0.079,0.18
26805.0,0.993,0.191
26806.0,0.076,0.329
26809.0,0.041,0.623
26810.0,0.015,0.424
26811.0,0.078,0.863
26812.0,0.028,0.735
26813.0,0.004,0.187
26814.0,0.995,0.929
26815.0,0.324,0.725
26816.0,0.337,0.661
26818.0,0.069,0.552
26819.0,0.206,0.943
26820.0,0.268,0.414
26821.0,0.0,0.034
26822.0,0.025,0.336
26823.0,0.002,0.098
26824.0,0.002,0.238
26825.0,0.0,0.009
26826.0,0.001,0.595
26827.0,0.062,0.416
26829.0,0.345,0.088
26831.0,0.992,0.502
26832.0,0.0,0.086
26833.0,0.646,0.241
26834.0,0.0,0.12
26835.0,0.977,0.848
26836.0,0.017,0.037
26837.0,0.164,0.053
26838.0,0.052,0.641
26840.0,0.001,0.077
26842.0,0.235,0.427
26843.0,0.412,0.466
26844.0,0.0,0.089
26845.0,0.463,0.7
26846.0,0.01,0.17
26847.0,0.991,0.797
26848.0,0.007,0.422
26850.0,0.01,0.181
26851.0,0.961,0.924
26853.0,0.051,0.24
26854.0,0.001,0.35
26855.0,0.0,0.151
26856.0,0.002,0.154
26857.0,0.088,0.21
